Log:

	PID		PPID		Nome do Programa
	18543		18074		create-zombies
	18544		18074		create-zombies
	18545		18074		create-zombies
	18546		18074		create-zombies
	18547		18074		create-zombies
	18548		18074		create-zombies
	18549		18074		create-zombies
	18550		18074		create-zombies
	18551		18074		create-zombies
	18552		18074		create-zombies
	18553		18074		create-zombies
	18554		18074		create-zombies
	18555		18074		create-zombies
	18556		18074		create-zombies
	18557		18074		create-zombies
	18558		18074		create-zombies
	18559		18074		create-zombies
	18560		18074		create-zombies
	18561		18074		create-zombies
	18562		18074		create-zombies
	18563		18074		create-zombies
	18564		18074		create-zombies
	18565		18074		create-zombies
	18566		18074		create-zombies
	18567		18074		create-zombies
	18568		18074		create-zombies
	18569		18074		create-zombies
	18570		18074		create-zombies
	18571		18074		create-zombies
	18572		18074		create-zombies
	18573		18074		create-zombies
	18574		18074		create-zombies
	18575		18074		create-zombies
	18576		18074		create-zombies
	18577		18074		create-zombies
	18578		18074		create-zombies
	18579		18074		create-zombies
	18580		18074		create-zombies
	18581		18074		create-zombies
	18582		18074		create-zombies
	18583		18074		create-zombies
	18584		18074		create-zombies
	18585		18074		create-zombies
	18586		18074		create-zombies
	18587		18074		create-zombies
	18588		18074		create-zombies
	18589		18074		create-zombies
	18590		18074		create-zombies
	18591		18074		create-zombies
	18592		18074		create-zombies
	18593		18074		create-zombies
	18594		18074		create-zombies
	18595		18074		create-zombies
	18596		18074		create-zombies
	18597		18074		create-zombies
	18598		18074		create-zombies
	18599		18074		create-zombies
	18600		18074		create-zombies
	18601		18074		create-zombies
	18602		18074		create-zombies
	18603		18074		create-zombies
	18604		18074		create-zombies
	18605		18074		create-zombies
	18606		18074		create-zombies
	18607		18074		create-zombies
	18608		18074		create-zombies
	18609		18074		create-zombies
	18610		18074		create-zombies
	18611		18074		create-zombies
	18612		18074		create-zombies
	18613		18074		create-zombies
	18614		18074		create-zombies
	18615		18074		create-zombies
	18616		18074		create-zombies
	18617		18074		create-zombies
	18618		18074		create-zombies
	18619		18074		create-zombies
	18620		18074		create-zombies
	18621		18074		create-zombies
	18622		18074		create-zombies
	18623		18074		create-zombies
	18624		18074		create-zombies
	18625		18074		create-zombies
	18626		18074		create-zombies
	18627		18074		create-zombies
	18628		18074		create-zombies
	18629		18074		create-zombies
	18630		18074		create-zombies
	18631		18074		create-zombies
	18632		18074		create-zombies
	18633		18074		create-zombies
	18634		18074		create-zombies
	18635		18074		create-zombies
	18636		18074		create-zombies
	18637		18074		create-zombies
	18638		18074		create-zombies
	18639		18074		create-zombies
	18640		18074		create-zombies
	18641		18074		create-zombies
	18642		18074		create-zombies
	18643		18074		create-zombies
	18644		18074		create-zombies
	18645		18074		create-zombies
	18646		18074		create-zombies
	18647		18074		create-zombies
	18648		18074		create-zombies
	18649		18074		create-zombies
	18650		18074		create-zombies
	18651		18074		create-zombies
	18652		18074		create-zombies
	18653		18074		create-zombies
	18654		18074		create-zombies
	18655		18074		create-zombies
	18656		18074		create-zombies
	18657		18074		create-zombies
	18658		18074		create-zombies
	18659		18074		create-zombies
	18660		18074		create-zombies
	18661		18074		create-zombies
	18662		18074		create-zombies
	18663		18074		create-zombies
	18664		18074		create-zombies
	18665		18074		create-zombies
	18666		18074		create-zombies
	18667		18074		create-zombies
	18668		18074		create-zombies
	18669		18074		create-zombies
	18670		18074		create-zombies
	18671		18074		create-zombies
	18672		18074		create-zombies
	18673		18074		create-zombies
	18674		18074		create-zombies
	18675		18074		create-zombies
	18676		18074		create-zombies
	18677		18074		create-zombies
	18678		18074		create-zombies
	18679		18074		create-zombies
	18680		18074		create-zombies
	18681		18074		create-zombies
	18682		18074		create-zombies
	18683		18074		create-zombies
	18684		18074		create-zombies
	18685		18074		create-zombies
	18686		18074		create-zombies
	18687		18074		create-zombies
	18688		18074		create-zombies
	18689		18074		create-zombies
	18690		18074		create-zombies
	18691		18074		create-zombies
	18692		18074		create-zombies
	18693		18074		create-zombies
	18694		18074		create-zombies
	18695		18074		create-zombies
	18696		18074		create-zombies
	18697		18074		create-zombies
	18698		18074		create-zombies
	18699		18074		create-zombies
	18700		18074		create-zombies
	18701		18074		create-zombies
	18702		18074		create-zombies
	18703		18074		create-zombies
	18704		18074		create-zombies
	18705		18074		create-zombies
	18706		18074		create-zombies
	18707		18074		create-zombies
	18708		18074		create-zombies
	18709		18074		create-zombies
	18710		18074		create-zombies
	18711		18074		create-zombies
	18712		18074		create-zombies
	18713		18074		create-zombies
	18714		18074		create-zombies
	18715		18074		create-zombies
	18716		18074		create-zombies
	18717		18074		create-zombies
	18718		18074		create-zombies
	18719		18074		create-zombies
	18720		18074		create-zombies
	18721		18074		create-zombies
	18722		18074		create-zombies
	18723		18074		create-zombies
	18724		18074		create-zombies
	18725		18074		create-zombies
	18726		18074		create-zombies
	18727		18074		create-zombies
	18728		18074		create-zombies
	18729		18074		create-zombies
	18730		18074		create-zombies
	18731		18074		create-zombies
	18732		18074		create-zombies
	18733		18074		create-zombies
	18734		18074		create-zombies
	18735		18074		create-zombies
	18736		18074		create-zombies
	18737		18074		create-zombies
	18738		18074		create-zombies
	18739		18074		create-zombies
	18740		18074		create-zombies
	18741		18074		create-zombies
	18742		18074		create-zombies
	18743		18074		create-zombies
	18744		18074		create-zombies
	18745		18074		create-zombies
	18746		18074		create-zombies
	18747		18074		create-zombies
	18748		18074		create-zombies
	18749		18074		create-zombies
	18750		18074		create-zombies
	18751		18074		create-zombies
	18752		18074		create-zombies
	18753		18074		create-zombies
	18754		18074		create-zombies
	18755		18074		create-zombies
	18756		18074		create-zombies
	18757		18074		create-zombies
	18758		18074		create-zombies
	18759		18074		create-zombies
	18760		18074		create-zombies
	18761		18074		create-zombies
	18762		18074		create-zombies
	18763		18074		create-zombies
	18764		18074		create-zombies
	18765		18074		create-zombies
	18766		18074		create-zombies
	18767		18074		create-zombies
	18768		18074		create-zombies
	18769		18074		create-zombies
	18770		18074		create-zombies
	18771		18074		create-zombies
	18772		18074		create-zombies
	18773		18074		create-zombies
	18774		18074		create-zombies
	18775		18074		create-zombies
	18776		18074		create-zombies
	18777		18074		create-zombies
	18778		18074		create-zombies
	18779		18074		create-zombies
	18780		18074		create-zombies
	18781		18074		create-zombies
	18782		18074		create-zombies
	18783		18074		create-zombies
	18784		18074		create-zombies
	18785		18074		create-zombies
	18786		18074		create-zombies
	18787		18074		create-zombies
	18788		18074		create-zombies
	18789		18074		create-zombies
	18790		18074		create-zombies
	18791		18074		create-zombies
	18792		18074		create-zombies
	18793		18074		create-zombies
	18794		18074		create-zombies
